key,cust,model,ai_total,man_total,delta_pct,abs_gap,man_shape,ai_shape,status_cust,rule_fires
19790-SF8169,"KANE VETERINARY SUPPLIES LTD",Sparse Intermittent,720,520,38.5,200,FLAT,FLAT,A,F17|F64|R2|VP-Q3
23011-FF29833,"WAL MART STORES",Croston's,300,500,-40.0,-200,FLAT,FLAT,A,F26|F62|F64|VP-Q3|VP-Q4
23011-FF4934,"WAL MART STORES",Croston's,1200,1000,20.0,200,FLAT,FLAT,A: ECOMM,F26|F37|F62|F64|VP-Q4
2973-FF31326,"BOMGAAR'S",Sparse Intermittent,480,676,-29.0,-196,FLAT,SPARSE,A,F10|F34|M1|R2
2973-FF31327,"BOMGAAR'S",Sparse Intermittent,480,676,-29.0,-196,FLAT,SPARSE,A,F10|F34|M1|R2
2973-FF33413,"BOMGAAR'S",Sparse Intermittent,480,676,-29.0,-196,FLAT,SPARSE,A: NEW 5/5,F10|F34|F37|M1|R2
2973-FF4775,"BOMGAAR'S",Sparse Intermittent,480,676,-29.0,-196,FLAT,SPARSE,A: NEW 5/5,F10|F34|F37|M1|R2
2973-FF4930,"BOMGAAR'S",Sparse Intermittent,480,676,-29.0,-196,FLAT,SPARSE,A: NEW 5/5,F10|F34|F37|M1|R2
2973-FF7267,"BOMGAAR'S",Sparse Intermittent,480,676,-29.0,-196,FLAT,SPARSE,A: NEW 5/5,F10|F34|F37|M1|R2
1864-FF37637,"AMAZON.COM.KYDC,INC",Seasonal Baseline,2280,2085,9.4,195,FLAT,VARIABLE,A,F10|F15|F16|F24|F34|F37|F38b|F39|F43|F45|F6b|M1|VP-Q1|VP-Q4
13032-BB25519,"MID-STATES DISTRIBUTING CO",Sparse Intermittent,1494,1300,14.9,194,FLAT,SPARSE,A,F17|F37|F64
1864-BB16853PCS2,"AMAZON.COM.KYDC,INC",Seasonal Baseline,3282,3090,6.2,192,FLAT,VARIABLE,A,F15|F16|F38b|F43|F44|F46|F48|F_PO_CUTOFF|VP-Q1
3102-FF15585,"CHEWY.COM",Seasonal Baseline,648,840,-22.9,-192,FLAT,FLAT,A,F64|F6b|VP-Q1|VP-Q4
4651-BB0098,"DO IT BEST CORP",Seasonal Baseline,1152,960,20.0,192,FLAT,FLAT,A,F37|F43|F48|F64|F66|VP-Q1|VP-Q4
13032-BB0235,"MID-STATES DISTRIBUTING CO",Seasonal Baseline,840,650,29.2,190,FLAT,VARIABLE,A,F43|F44|F46|F64|F66|VP-Q1|VP-Q2
3102-FF14584,"CHEWY.COM",Seasonal Baseline,3788,3600,5.2,188,FLAT,FLAT,A,F16|F37|F64|F66|VP-Q1|VP-Q4
